Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_VF200_GC.csv,20240701_093240,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
130260.0,2.1710000038146973,24574.0,24574.0,10.022245407104492,30.0,4.0,0.6063615644228975,0.8726437489886587,0.9726479649543762,241.93874255017195,246.34329829529622,254.11171957655992
130539.0,2.175649881362915,22886.0,22886.0,10.83930778503418,70.0,4.0,0.5693502134320475,0.7555205003514893,0.9745267629623413,243.5967085933697,249.32780994451494,253.41194051742437
130819.0,2.180316686630249,22625.0,22625.0,8.199563026428223,29.0,1.0,0.6052953529783691,0.8891589362957657,0.9748172760009766,242.86858713882864,247.07361569559714,254.2882236216694
131098.0,2.184966564178467,20660.0,20660.0,9.443239212036133,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9770044088363647,244.7461339996948,250.04168350407306,253.52611450685123
131377.0,2.1896166801452637,21749.0,21749.0,9.297643661499023,73.0,3.0,0.5656706878414983,0.7537271224809404,0.9757923483848572,244.17432812169335,249.81320111718364,253.4797695545838
131657.0,2.1942832469940186,21363.0,21363.0,9.912858963012695,76.0,4.0,0.5628787055125736,0.7420888667791858,0.9762219786643982,244.4370263080886,250.04105094119834,253.43618281075447
131936.0,2.1989333629608154,21981.0,21981.0,8.062501907348633,164.0,76.0,0.4018704317566764,0.3500755122583813,0.9755340814590454,246.57713643570196,250.9452451084112,248.37340139985395
132215.0,2.203583240509033,23001.0,23001.0,10.431575775146484,163.0,72.0,0.4094316856493291,0.36537993792603224,0.9743987917900085,246.08637910046966,250.8570047124347,248.2645995919918
132495.0,2.208250045776367,22598.0,22598.0,8.723599433898926,165.0,77.0,0.3983426974737801,0.3488433130432327,0.9748473167419434,246.3486077024803,250.8235238359108,248.09407641697717
132774.0,2.212899923324585,22222.0,22222.0,8.925582885742188,109.0,1.0,0.5231117847704707,0.7090235120489419,0.9752658605575562,244.22083740635443,251.92449257582257,253.1647514779992
133053.0,2.217550039291382,22377.0,22377.0,9.46583080291748,109.0,1.0,0.5231117847704707,0.7090235120489419,0.9750933051109314,244.1456375709239,251.90303658143023,253.15194803565112
133333.0,2.2222166061401367,21252.0,21252.0,9.137282371520996,69.0,28.0,0.5845915576053085,0.6401292641469986,0.9763454794883728,245.1068998132763,248.90979824123482,252.82929472579383
133612.0,2.2268667221069336,20954.0,20954.0,8.796243667602539,166.0,76.0,0.3978311368024974,0.3566040863940154,0.9766771793365479,246.93184237634014,251.17351908529926,248.5733153608652
133891.0,2.2315165996551514,19457.0,19457.0,9.43785572052002,128.0,8.0,0.4993340836219977,0.6627450980392157,0.9783434271812439,245.81761312484744,253.13753473758695,253.10828800346124
134171.0,2.2361834049224854,20461.0,20461.0,9.053942680358887,164.0,75.0,0.40330972736118803,0.3546147684275545,0.9772258996963501,247.1332161847115,251.25199266042705,248.8625189381755
134450.0,2.240833282470703,19525.0,19525.0,10.12210464477539,163.0,71.0,0.4107169171472172,0.3700639511635633,0.9782677292823792,247.40747682477937,251.509065109234,249.3118504294602
134729.0,2.2454833984375,18867.0,18867.0,8.559585571289062,165.0,76.0,0.39983212500875426,0.35331135271448555,0.9790001511573792,247.75306986977822,251.53700722048515,249.26283343936325
135009.0,2.250149965286255,19227.0,19227.0,8.807032585144043,163.0,71.0,0.4107169171472172,0.3700639511635633,0.9785994291305542,247.52336157595005,251.5623472806326,249.39866870875832
135288.0,2.2548000812530518,18030.0,18030.0,9.015583992004395,76.0,4.0,0.5628787055125736,0.7420888667791858,0.9799317717552185,246.08503756468954,250.81473495369133,253.6801660304719
135567.0,2.2594499588012695,17927.0,17927.0,9.02380657196045,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9800463914871216,246.09109152958027,250.65065832429661,253.73256812885174
135847.0,2.2641167640686035,29282.0,29282.0,4.8184967041015625,103.0,30.0,0.5391815493453757,0.5575389432161796,0.9674077033996582,242.05523834300945,249.144011612514,251.32269039081623
136126.0,2.2687666416168213,33673.0,33673.0,3.4528403282165527,103.0,31.0,0.5395711275567816,0.5521618760913225,0.9625203609466553,240.16551094859238,248.21398506023849,250.7198731342018
136405.0,2.273416757583618,31494.0,31494.0,3.8901333808898926,103.0,31.0,0.5395711275567816,0.5521618760913225,0.9649456739425659,241.12545293290194,248.65310909236754,250.99684077780668
136685.0,2.278083324432373,27167.0,27167.0,5.4019551277160645,102.0,29.0,0.5403174063713011,0.5642836111819302,0.969761848449707,242.93823354984752,249.53523844773343,251.64030915950306
136964.0,2.28273344039917,23902.0,23902.0,5.60863733291626,103.0,31.0,0.5395711275567816,0.5521618760913225,0.9733959436416626,244.47008048265695,250.1831039875016,251.96185077459097
137243.0,2.2873833179473877,21935.0,21935.0,8.811422348022461,100.0,25.0,0.5417176684198629,0.5885620007766131,0.9755852818489075,245.1100051538034,250.60412513728457,252.4384885891394
137523.0,2.2920498847961426,21724.0,21724.0,9.443530082702637,70.0,4.0,0.5693502134320475,0.7555205003514893,0.9758201241493225,244.17569172328635,249.61580594801066,253.49257159286813
137802.0,2.2967000007629395,20976.0,20976.0,9.634090423583984,99.0,24.0,0.5427654145944308,0.5953685143002351,0.9766526818275452,245.50186804205057,250.77198176576377,252.59099968999746
138081.0,2.3013501167297363,19383.0,19383.0,8.344751358032227,71.0,4.0,0.5682878198571557,0.7531964436569046,0.9784258008003235,245.3549286255373,250.24669941152337,253.64222978262768
138360.0,2.305999994277954,18090.0,18090.0,8.722678184509277,71.0,3.0,0.5678035336372295,0.7582431787924724,0.9798649549484253,245.97241206776434,250.59108185720712,253.75871495593256
138640.0,2.310666561126709,18343.0,18343.0,10.221077919006348,70.0,5.0,0.5698466267518859,0.7504964395688093,0.9795833826065063,245.88649990588593,250.42611582484534,253.7010252234323
138919.0,2.315316677093506,18046.0,18046.0,10.318180084228516,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9799139499664307,246.031958897768,250.62178969007624,253.72415558511165
139198.0,2.3199665546417236,17715.0,17715.0,10.385229110717773,71.0,5.0,0.5687786350843935,0.7481567764122057,0.9802823662757874,246.21027367250196,250.62901349331628,253.7337331281496
139478.0,2.3246333599090576,16769.0,16769.0,8.776481628417969,127.0,8.0,0.5006659163780023,0.6627450980392157,0.9813352823257446,247.08615970611575,253.36962798168054,253.394834280014
139757.0,2.3292832374572754,17965.0,17965.0,8.893655776977539,73.0,3.0,0.5656706878414983,0.7537271224809404,0.980004072189331,246.057812760111,250.71561679430414,253.74426405644783
140036.0,2.3339333534240723,17221.0,17221.0,9.697723388671875,128.0,8.0,0.4993340836219977,0.6627450980392157,0.9808322191238403,246.87286090850833,253.35157084465024,253.32568517032144
140316.0,2.338599920272827,17079.0,17079.0,8.761838912963867,75.0,4.0,0.5639733438250351,0.7442409931612047,0.9809902310371399,246.5448073346362,250.99064969128665,253.76021049430514
140595.0,2.343250036239624,16498.0,16498.0,9.5758638381958,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9816369414329529,246.81180685626296,251.04055161875348,253.823033274543
140874.0,2.347899913787842,16467.0,16467.0,10.55247688293457,74.0,3.0,0.5645947490624071,0.751520309675953,0.9816714525222778,246.81378009570693,251.1160382953106,253.83866069065476
