Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_MegaLAP_GC.csv,20240701_110647,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
125508.0,2.0917999744415283,18875.0,18875.0,77.86894226074219,1.0,155.0,0.7840688159108122,0.7179470068550023,0.9960929751396179,254.29613536507097,253.2884242755266,254.71899304567853
125787.0,2.096450090408325,40682.0,40682.0,6.10520076751709,75.0,5.0,0.5644405292045783,0.7391402676459123,0.991578996181488,251.26544675713257,253.2124833117157,254.43984129542633
126067.0,2.10111665725708,38553.0,38553.0,5.8486857414245605,75.0,5.0,0.5644405292045783,0.7391402676459123,0.9920197129249573,251.46089615710682,253.3060337423693,254.4691574346214
126346.0,2.105766773223877,40159.0,40159.0,5.6320319175720215,79.0,8.0,0.5613615407523108,0.7152429462260396,0.9916872382164001,251.36410646669083,253.27999331819342,254.39638502367325
126625.0,2.1104166507720947,39625.0,39625.0,5.666932582855225,70.0,29.0,0.584095881235612,0.6325406318202006,0.9917978048324585,251.5854436953116,252.8963340534691,254.23143676924224
126905.0,2.1150832176208496,37332.0,37332.0,5.901301383972168,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9922724366188049,251.55423516378457,253.3337803880036,254.50470751180595
127184.0,2.1197333335876465,39284.0,39284.0,5.627134799957275,70.0,30.0,0.5848047386109281,0.6277572781796911,0.9918683767318726,251.62474121568198,252.9034522185455,254.22813091757303
127463.0,2.1243834495544434,38717.0,38717.0,6.704097747802734,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9919857382774353,251.42178385437222,253.25310983286818,254.49094266711978
127743.0,2.1290500164031982,37707.0,37707.0,6.797008514404297,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9921948313713074,251.5196305387894,253.31704712047855,254.49973346057737
128022.0,2.133699893951416,38006.0,38006.0,6.392401695251465,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9921329021453857,251.49201594173098,253.30369392158568,254.49576415241575
128301.0,2.138350009918213,39125.0,39125.0,6.240200996398926,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9919012784957886,251.38873362780527,253.25375115845026,254.4809184050469
128580.0,2.1429998874664307,39659.0,39659.0,6.865410804748535,79.0,7.0,0.5609007603575511,0.720384791875851,0.991790771484375,251.3986268677147,253.31259191543177,254.41466658931654
128860.0,2.1476666927337646,39668.0,39668.0,7.000051498413086,155.0,11.0,0.46310657931752236,0.6638579819682754,0.9917888641357422,251.51614819306334,254.29617251616517,253.68078487500688
129139.0,2.1523165702819824,38723.0,38723.0,5.980883598327637,73.0,4.0,0.5661434840304798,0.7486499447108067,0.991984486579895,251.42583658978165,253.27169251134194,254.4862515659648
129418.0,2.1569666862487793,38555.0,38555.0,6.452140808105469,74.0,5.0,0.5655348976164014,0.7413424443276063,0.9920192956924438,251.45622951767422,253.28714845413873,254.47361128547215
129698.0,2.161633253097534,40145.0,40145.0,5.95165491104126,74.0,5.0,0.5655348976164014,0.7413424443276063,0.9916901588439941,251.31007882680382,253.2165077515214,254.4519021836332
129977.0,2.166283369064331,37519.0,37519.0,6.4422383308410645,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9922337532043457,251.53251782420614,253.3071703130621,254.50669631001017
130256.0,2.170933246612549,40105.0,40105.0,6.8871169090271,72.0,4.0,0.5672188977378395,0.7509061551388774,0.9916984438896179,251.29351234882083,253.19048750301124,254.4726940348843
130536.0,2.175600051879883,38752.0,38752.0,6.104872703552246,75.0,5.0,0.5644405292045783,0.7391402676459123,0.9919785261154175,251.44263059917034,253.29729106620195,254.46641771969257
130815.0,2.1802499294281006,38745.0,38745.0,6.379333972930908,79.0,7.0,0.5609007603575511,0.720384791875851,0.9919799566268921,251.4816220344337,253.35147894828216,254.42815584528125
131094.0,2.1849000453948975,39501.0,39501.0,6.78933572769165,73.0,4.0,0.5661434840304798,0.7486499447108067,0.9918234348297119,251.3540226905981,253.23696648303726,254.47592907255498
131374.0,2.1895666122436523,39290.0,39290.0,7.466257095336914,79.0,7.0,0.5609007603575511,0.720384791875851,0.9918671250343323,251.43212302668354,253.3282863984442,254.42011074082592
131653.0,2.194216728210449,38301.0,38301.0,6.336057186126709,72.0,5.0,0.567703991482071,0.7458510127227463,0.9920718669891357,251.47045854326538,253.26112980902434,254.48619362119385
131932.0,2.198866605758667,37591.0,37591.0,5.891756534576416,79.0,7.0,0.5609007603575511,0.720384791875851,0.9922188520431519,251.58642500488418,253.40058393494394,254.44518953712327
132212.0,2.203533411026001,38121.0,38121.0,5.99703311920166,72.0,5.0,0.567703991482071,0.7458510127227463,0.9921091198921204,251.48704323795803,253.26930045429967,254.48860790702335
132491.0,2.2081832885742188,36722.0,36722.0,5.897335529327393,70.0,28.0,0.5833976779457165,0.6373363447202918,0.9923986792564392,251.82629072606636,253.06070933562816,254.29703569471764
132770.0,2.2128334045410156,36095.0,36095.0,6.892151832580566,70.0,30.0,0.5848047386109281,0.6277572781796911,0.99252849817276,251.8987431730532,253.07364900419932,254.2907908950544
133050.0,2.2174999713897705,38602.0,38602.0,6.756206035614014,70.0,29.0,0.584095881235612,0.6325406318202006,0.9920095801353455,251.67360530094024,252.9506493293068,254.25128056808595
133329.0,2.2221500873565674,38172.0,38172.0,7.1468095779418945,69.0,30.0,0.5860104348113153,0.6305926250944657,0.9920985698699951,251.7145765070903,252.94431833843913,254.2556941266072
133608.0,2.226799964904785,37540.0,37540.0,6.1543426513671875,72.0,5.0,0.567703991482071,0.7458510127227463,0.9922294020652771,251.54059190018165,253.29568183376458,254.49640315310967
133888.0,2.231466770172119,36920.0,36920.0,5.790234565734863,72.0,5.0,0.567703991482071,0.7458510127227463,0.9923577308654785,251.59772285645892,253.32382807260896,254.50471988493513
