Input File Name,Date Created,Time Range[min],m/z Range,Noise Limit[cts],a
GrobMix_VF23_GC.csv,20240701_095712,[2-15],[50-200],0.0,1.0
RT(ms),RT(min),TIC[cts],TIC[cts] denoised,Difference,x,y,H,S,L,R,G,B
125518.0,2.0919666290283203,18875.0,18875.0,77.86894226074219,1.0,155.0,0.7840688159108122,0.7179470068550023,0.9814485907554626,251.65789664464822,246.8730638139282,253.66571747135774
125798.0,2.0966334342956543,242509.0,242509.0,0.29479894042015076,149.0,80.0,0.4323527522915844,0.2891608455815808,0.7616482973098755,176.64521094061834,211.79542068741816,197.52853101295096
126077.0,2.101283311843872,142774.0,142774.0,0.29980069398880005,149.0,80.0,0.4323527522915844,0.2891608455815808,0.8596735596656799,208.86964511789444,229.56387031160233,221.16442604472738
126356.0,2.105933427810669,87432.0,87432.0,0.3324527442455292,149.0,80.0,0.4323527522915844,0.2891608455815808,0.9140668511390686,226.7506790334932,239.42341504743177,234.2797607737622
126636.0,2.110599994659424,56236.0,56236.0,0.3871709704399109,149.0,80.0,0.4323527522915844,0.2891608455815808,0.9447280764579773,236.8301280789596,244.98119091460882,241.6728091142287
126915.0,2.1152501106262207,38364.0,38364.0,0.4932982325553894,149.0,80.0,0.4323527522915844,0.2891608455815808,0.9622936844825745,242.60457607296638,248.1652030131466,245.90823636492783
127194.0,2.1198999881744385,27902.0,27902.0,0.7797266840934753,148.0,79.0,0.4363532544534121,0.29201865397853277,0.9725763201713562,245.96486399566763,250.04905929172403,248.4893848591
127474.0,2.1245665550231934,23914.0,23914.0,1.00541090965271,148.0,78.0,0.43750980138824286,0.2971348508159155,0.9764959812164307,247.2255901159081,250.78736030447155,249.45190594551494
127753.0,2.1292166709899902,20392.0,20392.0,1.193840503692627,146.0,77.0,0.44411213016439366,0.2982713234479438,0.9799575805664062,248.36477290719662,251.41359318167056,250.39124075775882
128032.0,2.133866548538208,18534.0,18534.0,1.4037196636199951,150.0,82.0,0.42690930973669766,0.28150744870342137,0.9817837476730347,249.04721292366085,251.66249838958683,250.51558026994616
128311.0,2.138516664505005,16363.0,16363.0,1.641432523727417,146.0,76.0,0.4451125812910745,0.30348482217954276,0.9839175343513489,249.65437128155864,252.1435712376293,251.32381667619475
128591.0,2.1431832313537598,15112.0,15112.0,1.5973918437957764,146.0,77.0,0.44411213016439366,0.2982713234479438,0.9851470589637756,250.08279740887073,252.34220266265484,251.5845625822786
128870.0,2.1478333473205566,15099.0,15099.0,2.0924618244171143,152.0,83.0,0.419901386534047,0.2817258832260676,0.9851598143577576,250.14963223736677,252.2818730850896,251.25713587222117
